2011-06-12 09:48:53,734 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\client] for files matching pattern [E:/workspace8.5/com.soar.ax/ax-web/src/main/webapp/WEB-INF/classes/com/soar/ax/client/**/*.class]
2011-06-12 09:48:53,734 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Resolved location pattern [classpath*:com/soar/ax/client/**/*.class] to resources [file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\client\ArticleClient.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\client\RestTemplateExample.class]]
2011-06-12 09:48:53,765 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\client\ArticleClient.class]
2011-06-12 09:48:53,781 [DEBUG] org.springframework.beans.factory.xml.BeanDefinitionParserDelegate  - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.oxm.xstream.XStreamMarshaller#1ebd75b]
2011-06-12 09:48:53,781 [DEBUG] org.springframework.beans.factory.xml.BeanDefinitionParserDelegate  - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.http.converter.xml.MarshallingHttpMessageConverter#ec4a87]
2011-06-12 09:48:53,781 [DEBUG] org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loaded 7 bean definitions from location pattern [spring-config/spring-context-test.xml]
2011-06-12 09:48:53,781 [INFO ] org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loading XML bean definitions from class path resource [spring-config/spring-context.xml]
2011-06-12 09:48:53,781 [DEBUG] org.springframework.beans.factory.xml.DefaultDocumentLoader  - Using JAXP provider [org.apache.xerces.jaxp.DocumentBuilderFactoryImpl]
2011-06-12 09:48:53,781 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/beans/spring-beans-3.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-3.0.xsd
2011-06-12 09:48:53,828 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/context/spring-context-3.0.xsd] in classpath: org/springframework/context/config/spring-context-3.0.xsd
2011-06-12 09:48:53,828 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/tool/spring-tool-3.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-3.0.xsd
2011-06-12 09:48:53,843 [DEBUG] org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader  - Loading bean definitions
2011-06-12 09:48:53,859 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in directory tree [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service]
2011-06-12 09:48:53,859 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service] for files matching pattern [E:/workspace8.5/com.soar.ax/ax-web/src/main/webapp/WEB-INF/classes/com/soar/ax/service/**/*.class]
2011-06-12 09:48:53,859 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage] for files matching pattern [E:/workspace8.5/com.soar.ax/ax-web/src/main/webapp/WEB-INF/classes/com/soar/ax/service/**/*.class]
2011-06-12 09:48:53,859 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Resolved location pattern [classpath*:com/soar/ax/service/**/*.class] to resources [file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\ArticleService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\BaseService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage\UsersService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrderServiceTest.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrdersService.class]]
2011-06-12 09:48:53,875 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\ArticleService.class]
2011-06-12 09:48:53,875 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\BaseService.class]
2011-06-12 09:48:53,875 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage\UsersService.class]
2011-06-12 09:48:53,890 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrdersService.class]
2011-06-12 09:48:53,890 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in directory tree [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service]
2011-06-12 09:48:53,890 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service] for files matching pattern [E:/workspace8.5/com.soar.ax/ax-web/src/main/webapp/WEB-INF/classes/com/soar/ax/service/**/*.class]
2011-06-12 09:48:53,906 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage] for files matching pattern [E:/workspace8.5/com.soar.ax/ax-web/src/main/webapp/WEB-INF/classes/com/soar/ax/service/**/*.class]
